Order_ID,Order_Date,Customer_ID,Customer_Segment,Region,Product_Category,Product_Name,Sales,Quantity,Profit,Year,Month,Month_Name
ORD100000,2024-02-01,CUST7203,Consumer,West,Technology,Monitor,7745.07,6,-15.5,2024,2,February
ORD100001,2024-12-30,CUST5562,Consumer,West,Furniture,Chair,6459.88,13,4718.22,2024,12,December
ORD100002,2023-05-11,CUST5723,Home Office,South,Office Supplies,Tablet,13722.96,1,3398.47,2023,5,May
ORD100003,2024-07-18,CUST3438,Home Office,South,Furniture,Tablet,7214.49,14,-841.56,2024,7,July
ORD100004,2024-02-05,CUST7828,Consumer,West,Technology,Tablet,10401.99,3,438.81,2024,2,February
ORD100005,2024-01-01,CUST2210,Consumer,East,Office Supplies,Laptop,7654.24,10,524.69,2024,1,January
ORD100006,2023-11-11,CUST7641,Home Office,South,Furniture,Monitor,10911.49,11,-431.44,2023,11,November
ORD100007,2021-05-02,CUST1599,Corporate,Central,Office Supplies,Tablet,1678.29,14,-1105.58,2021,5,May
ORD100008,2022-04-12,CUST6480,Consumer,West,Technology,Laptop,14176.43,2,3865.67,2022,4,April
ORD100009,2024-05-23,CUST2846,Corporate,Central,Office Supplies,Chair,9195.71,7,1643.58,2024,5,May
ORD100010,2021-11-27,CUST7592,Consumer,East,Technology,Chair,4650.9,1,485.6,2021,11,November
ORD100011,2021-03-29,CUST8861,Corporate,East,Office Supplies,Desk,3538.02,5,-1574.19,2021,3,March
ORD100012,2024-10-28,CUST2887,Home Office,West,Office Supplies,Printer,11078.91,8,-233.64,2024,10,October
ORD100013,2024-01-29,CUST1679,Consumer,West,Technology,Tablet,4046.3,5,3073.28,2024,1,January
ORD100014,2023-05-22,CUST4252,Corporate,East,Technology,Pen,6760.68,9,4262.73,2023,5,May
ORD100015,2021-05-11,CUST2835,Corporate,South,Office Supplies,Laptop,9269.77,7,4242.39,2021,5,May
ORD100016,2024-08-25,CUST3177,Home Office,West,Technology,Laptop,12873.45,8,189.02,2024,8,August
ORD100017,2023-02-09,CUST9142,Consumer,Central,Office Supplies,Desk,12447.31,5,2960.8,2023,2,February
ORD100018,2021-12-10,CUST1148,Home Office,West,Technology,Pen,10023.05,5,-969.18,2021,12,December
ORD100019,2024-12-08,CUST2495,Consumer,West,Furniture,Tablet,4011.53,12,-9.13,2024,12,December
ORD100020,2023-03-17,CUST2744,Consumer,South,Technology,Printer,2470.72,6,1611.77,2023,3,March
ORD100021,2022-01-21,CUST2646,Consumer,South,Office Supplies,Tablet,8204.34,11,3430.59,2022,1,January
ORD100022,2024-04-30,CUST3995,Home Office,East,Technology,Desk,13228.7,6,4374.6,2024,4,April
ORD100023,2023-08-14,CUST7643,Consumer,West,Furniture,Phone,6154.47,7,4595.78,2023,8,August
